	initial_hunter	hunting_season_end	Run	average_welfare	grass
468	25	7	468	122.2	True
469	25	7	469	110.6	True
470	25	8	470	123.0	True
471	25	8	471	-869.6	True
472	25	8	472	116.2	True
473	25	8	473	126.8	True
474	25	8	474	131.2	True
475	25	8	475	-872.0	True
476	25	8	476	134.2	True
477	25	8	477	136.8	True
478	25	8	478	-881.4	True
479	25	8	479	133.4	True
480	25	9	480	140.6	True
481	25	9	481	130.4	True
482	25	9	482	141.0	True
483	25	9	483	-861.4	True
484	25	9	484	-866.4	True
485	25	9	485	131.0	True
486	25	9	486	-867.8	True
487	25	9	487	-864.8	True
488	25	9	488	-870.8	True
489	25	9	489	139.0	True
490	25	10	490	-861.8	True
491	25	10	491	143.4	True
492	25	10	492	146.8	True
493	25	10	493	139.8	True
494	25	10	494	151.4	True
495	25	10	495	142.4	True
496	25	10	496	139.2	True
497	25	10	497	-854.6	True
498	25	10	498	-871.0	True
499	25	10	499	140.0	True
